variable NPY_DISABLE_CPU_FEATURES = ''
ufunc (tableau)              non-CR    sur N   p.cent  biais (nb -1ulp / +1ulp / autres)
power x**6 (entier)             985    20000     4.92  977 / 8 / 0
power x**(-0.8)                1080    20000     5.40  1063 / 17 / 0
power (-x)**6 == x**6 ?          17    20000     0.09  15 / 2 / 0
sqrt                              0    20000     0.00  0 / 0 / 0
exp                             912    20000     4.56  873 / 39 / 0
log                              16    20000     0.08  8 / 8 / 0
log2                              0    20000     0.00  0 / 0 / 0
log10                            13    20000     0.07  6 / 7 / 0
sin                              30    20000     0.15  21 / 9 / 0
cos                              25    20000     0.12  9 / 16 / 0
tan                              71    20000     0.35  34 / 37 / 0
arctan                            7    20000     0.04  3 / 4 / 0
tanh                           4251    20000    21.25  2140 / 2111 / 0
expm1                             5    20000     0.03  2 / 3 / 0
log1p                            24    20000     0.12  20 / 4 / 0
cbrt                            126    20000     0.63  70 / 56 / 0
arctan2(y,1.7)                 1184    20000     5.92  615 / 569 / 0
python x**6 (libm)               17    20000     0.09  (pow de la libm par Python, meme entrees)
math.log (libm)                   6    20000     0.03  (log de la libm par Python, meme entrees)
